State,Total Cases,Total Deaths,Total Recovered,Active,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
LAX,11161843,95490,10583973,482380,282491,2417,183300783,4639091,39512223
DEN,1639422,13920,1582322,43180,284684,2417,19984063,3470217,5758736
MIA,7113909,80460,6864728,168721,331222,3746,62664535,2917651,21477737
ATL,2883318,39875,2765122,78321,271565,3756,26814188,2525489,10617423
ORD,3716318,39445,3559177,117696,293274,3113,57898053,4569040,12671821
BOS,2021331,21536,1987460,12335,293265,3125,47257622,6856380,6892503
DTW,2786213,38121,2673810,74282,278988,3817,26843215,2687854,9986857
EWR,2696672,34623,2511545,150504,303604,3898,31135813,3505421,8882190
JFK,6193959,71730,6080578,41651,318397,3687,118542371,6093608,19453561
CLT,3141302,26365,3079705,35232,299512,2514,26356209,2512967,10488084
PHL,3202811,46831,3111385,44595,250181,3658,28100032,2194974,12801989
DFW,7867631,90860,7535625,241146,271336,3134,71159193,2454114,28995881
IAD,1793565,14122,1744493,34950,235534,1855,17264083,2267147,7614893

